bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
SP Costillo, A     29| 105/105     126/ 98   2/ 11 | 120 (109) |          |    | SP,P          |      $500k a |  $1.77M |    p1924 | San Diego Padres     | ***
 C Palomo, J       23|  94/ 95      98/ 94  15/ 16 | 118 (107) | 64------ |  - | C,H           |              |  $8.91M |    p1371 | San Diego Padres     | +++
CF Araujo, Y       31|  97/ 97     101/ 96  18/ 18 | 118 (107) | 12---877 |  + | CF,C,OF,H     |        $6Mx3 | $10.56M | RF p3221 | San Diego Padres     | **^
MR Rosario, R      31|  96/ 96     111/111   7/ 15 | 112 (102) |          |  - | MR,P          |      $2.5Mx3 |  $4.52M |     p464 | San Diego Padres     | **^
3B Parada, M       29|  98/ 98     102/ 98   5/  6 | 110 (100) | -857-3-3 | ++ | IF,OF,H       |     $1.86M a |  $3.42M | 2B  p137 | San Diego Padres     | ***
 C Matson, A       19|  69/ 89/ 88  74/ 68 -10/  9 | 109 ( 99) | 5------- | -+ | C,H           |  T           |         |    p1550 | San Diego Padres     | +++
SS Nichols, S      31|  99/ 99     105/ 98   6/  7 | 108 ( 98) | -8765--- | -+ | SS,IF,H       |      $500k r |  $3.97M |     p842 | San Diego Padres     | **
CF Coria, O        30|  92/ 92      83/ 94  13/ 13 | 107 ( 97) | 25---456 |  - | CF,C,OF,H     |      $550k a |  $7.81M | RF  p922 | San Diego Padres     | *
1B Beardsley, A    18|  61/ 97/ 92  57/ 62 -32/ -2 | 105 ( 96) | -2------ |    | H             |  6           |         |    p2674 | San Diego Padres     | +++-
SP Travieso, N     32|  98/ 98      97/ 99  -5/  4 | 105 ( 96) |          | ++ | SP,P          | F    $800k   |         | MR p4205 | San Diego Padres     | *
CF Ervin, P        33|  99/ 99     101/ 99   6/  5 | 104 ( 95) | -2---367 | -  | CF,OF,H       | F   $1.23M   |  $3.97M | RF p4449 | San Diego Padres     | **^
 C French, A       23|  70/ 88/ 87  62/ 71  -9/  8 | 103 ( 94) | 42------ |    | C,H           |              |         |     p833 | San Diego Padres     | ++-
 C Omara, A        24|  76/ 87      78/ 76  -3/  8 | 103 ( 94) | 7------- |  + | C,H           |              |         |    p2497 | San Diego Padres     | +++
SS Faria, F        19|  73/ 91/ 90  76/ 73 -20/ -2 | 102 ( 93) | -36-7--- |    | SS,IF,H       |              |         |     p565 | San Diego Padres     | +++
SP Westcott, J     21|  65/ 92/ 90  61/ 66 -38/ -4 | 101 ( 92) |          |  + | SP,P          |  4           |         |    p2554 | San Diego Padres     | ++++
LF Koons, D        20|  72/ 89/ 88  76/ 71 -21/ -6 |  99 ( 90) | -2---5-5 |    | OF,H          |              |         |    p1531 | San Diego Padres     | ++-
SP Remick, M       24|  75/ 94/ 93  82/ 73 -28/ -1 |  99 ( 90) |          |  - | SP,P          |  3           |         |    p2752 | San Diego Padres     | ++++-
SP Trejo, R        28|  93/ 93      97/ 91 -10/ -1 |  98 ( 89) |          |  + | SP,P          |              |         |    p2815 | San Diego Padres     | **^
CF Martinez, F     22|  72/ 88/ 87  72/ 72 -21/ -7 |  97 ( 88) | -2---878 |  + | CF,OF,H       |  7           |         | LF p1115 | San Diego Padres     | +++-
CF Wood, K         23|  76/ 86      79/ 76 -17/ -8 |  95 ( 86) | -2---778 |  + | CF,OF,H       | F8           |         |     p880 | San Diego Padres     | +++
MR Benedetti, J    29|  86/ 86      88/104  -3/  4 |  95 ( 86) |          |  + | MR,P          |              |         |     p303 | San Diego Padres     | *
2B Comeaux, S      21|  58/ 86/ 83  61/ 57 -35/ -9 |  94 ( 86) | -24----- |  + | IF,H          |              |         | SS p3037 | San Diego Padres     | +++
1B Morales, G      22|  75/ 85      72/ 76 -18/ -9 |  94 ( 86) | -3------ |    | H             |              |         |    p2232 | San Diego Padres     | +++
SP Anderson, C     23|  74/ 85      76/ 73 -29/ -9 |  94 ( 86) |          |  + | SP,P          |              |         |    p1923 | San Diego Padres     | ++
3B Risner, C       23|  70/ 86/ 85  71/ 70 -23/ -7 |  94 ( 86) | -3-5---- | +  | IF,H          | F            |         |    p1128 | San Diego Padres     | ++
RF Stephens, R     23|  76/ 86      72/ 76 -17/ -8 |  94 ( 86) | -2---5-5 |    | OF,H          |              |         |    p1008 | San Diego Padres     | ++
MR Lett, L         32|  87/ 87     101/100  -2/  5 |  94 ( 86) |          |  + | MR,P          |    $897.1k a |         |     p316 | San Diego Padres     | *^
3B Guerriero, J    19|  58/ 84/ 82  61/ 57 -35/-10 |  93 ( 85) | -3-8---- | -  | IF,H          |              |         |    p2380 | San Diego Padres     | +++
SP Aritomo, T      22|  76/ 83      69/ 80 -27/-11 |  93 ( 85) |          |  + | SP,P          | F            |         | MR p1943 | San Diego Padres     | +++++
CF Navarro, V      26|  80/ 86      81/ 80 -13/ -8 |  93 ( 85) | -2---444 |  + | CF,OF,H       |              |         | RF p3032 | San Diego Padres     | *
SS Slagle, W       33|  92/ 92      91/ 92  -1/  0 |  92 ( 84) | -75563-3 | -+ | SS,IF,OF,H    |    $792.9k a | $673.2k |     p153 | San Diego Padres     | **
CF Thompson, C     25|  76/ 85      70/ 77 -17/ -9 |  91 ( 83) | -2---656 |    | CF,OF,H       | F            |         |    p2362 | San Diego Padres     | +-
RF Randolph, M     18|  57/ 80/ 78  56/ 57 -36/-16 |  90 ( 82) | -2---3-5 |  - | OF,H          |              |         |     p962 | San Diego Padres     | ++
LF Adams, H        20|  68/ 80      63/ 68 -25/-14 |  90 ( 82) | -1---4-2 |  - | OF,H          |              |         |    p1756 | San Diego Padres     | +-
SP Moore, R        21|  78/ 79      81/ 77 -25/-15 |  90 ( 82) |          |  + | SP,P          |  5           |         |    p3009 | San Diego Padres     | ++++
MR Triggs, D       21|  49/ 86/ 79  61/ 55 -43/ -3 |  89 ( 81) |          |    | MR,P          |              |         |    p1230 | San Diego Padres     | +++++
MR Favors, R       25|  78/ 82      90/ 91 -12/  0 |  89 ( 81) |          |  + | MR,P          |              |         |    p1249 | San Diego Padres     | ++++-

**San Francisco...** |     OVR      vL/vR   vRpl   |           |          | XC | 
SP Fried, M        32| 133/133     130/135  30/ 39 | 173 (157) |          |    | SP,P          |     $30.9Mx5 | $17.15M |    p4157 | San Francisco Giants | ***^
LF Reilly, N       21| 111/119      92/115  18/ 25 | 156 (142) | -2---5-3 | ++ | OF,H          |  1   $500k r | $10.56M |    p2339 | San Francisco Giants | +++++
3B Harris, S       19|  79/119/114  73/ 81 -14/ 22 | 150 (137) | -355---- | ++ | IF,H          |  2           |         |    p2397 | San Francisco Giants | +++++
SS Arroyo, C       30| 109/109     113/108  16/ 17 | 130 (118) | -3778--- |  + | SS,IF,H       |     $4.07Mx2 |  $9.46M | 2B p4437 | San Francisco Giants | ***
SP Anderson, M     28| 108/108      99/112   5/ 14 | 126 (115) |          | -  | SP,P          |      $500k a |  $3.42M |    p2388 | San Francisco Giants | **
 C Herrera, J      32| 101/101      96/103  22/ 22 | 125 (114) | 31------ |  + | C,H           | F            | $12.75M | 1B p1414 | San Francisco Giants | *
RF Betancourt, J   24|  83/106/105  91/ 81 -10/ 11 | 124 (113) | -2---4-6 |  + | OF,H          |  3           |         |    p3324 | San Francisco Giants | +++++
LF Foor, R         24|  89/102      84/ 89  -4/  8 | 118 (107) | -6---6-5 |  + | OF,H          |  5           |         | RF p1887 | San Francisco Giants | ++++-
 C Kemp, T         28|  95/ 95     101/ 94  16/ 16 | 118 (107) | 62------ | ++ | C,H           |        $3Mx2 |  $9.46M |     p757 | San Francisco Giants | **^
LF Ortiz, D        36| 109/100     100/111  16/  6 | 115 (105) | -7---7-7 |  - | OF,H          |    $19.56Mx2 |  $9.46M | RF p1555 | San Francisco Giants | ***^
CF Romero, E       24|  87/ 99      79/ 89  -6/  5 | 113 (103) | -2---662 | ++ | CF,OF,H       |  4           |         |     p721 | San Francisco Giants | +++++
SS Windsor, B      27| 100/100     100/100   7/  8 | 113 (103) | -36766-- | -  | SS,IF,OF,H    |      $550k a |  $4.52M | 3B p1158 | San Francisco Giants | **
3B Freitag, C      24|  94/ 96      97/ 93   1/  4 | 108 ( 98) | -3-4---- |  + | IF,H          |  9  $2.19Mx2 |  $1.22M |     p522 | San Francisco Giants | +++-
SP Lutz, C         25|  90/ 98      92/ 90 -13/  4 | 108 ( 98) |          |    | SP,P          |  6           |         | MR p1135 | San Francisco Giants | +++++
CF Malbon, W       33| 100/100      95/100   7/  6 | 107 ( 97) | -2---893 | -+ | CF,OF,H       |      $2.5Mx3 |  $4.52M | LF  p528 | San Francisco Giants | ***
DH Kang, J         32|  98/ 98      95/ 99   5/  4 | 105 ( 96) | -2------ |  + | H             |     $2.62M a |  $3.42M | SS p4711 | San Francisco Giants | ***
 C Lavarnway, R    38| 105/ 80     111/103  26/  1 | 105 ( 96) | 67------ |  - | C,H           |      $4.8Mx2 | $14.95M |    p2050 | San Francisco Giants | **^
1B Smith, D        30|  97/ 97     100/ 96   4/  3 | 104 ( 95) | -3------ |    | H             |     $2.03Mx2 |  $2.87M |    p4361 | San Francisco Giants | **^
2B Payne, M        26|  87/ 94      95/ 86  -6/  2 | 103 ( 94) | -365---- |  + | IF,H          |              |         |    p2857 | San Francisco Giants | *^
RF Hansen, M       28|  96/ 96      93/ 96   3/  2 | 103 ( 94) | -2---2-4 | -  | OF,H          | F            |  $2.32M |    p2810 | San Francisco Giants | *
2B Farina, M       30|  95/ 95      99/ 94   2/  3 | 103 ( 94) | -24----- | ++ | IF,H          |      $500k r |  $1.77M | 3B p1254 | San Francisco Giants | **^
 C Macias, L       22|  65/ 86/ 85  69/ 65 -14/  6 | 101 ( 92) | 72------ |  + | C,H           |              |         |    p2062 | San Francisco Giants | +++
MR Lindsey, J      29|  88/ 88      96/105  -1/  6 |  99 ( 90) |          |  + | MR,P          |      $6.2Mx3 | $673.2k | CL  p261 | San Francisco Giants | ****^
2B Grund, B        18|  65/ 85/ 84  69/ 64 -28/ -8 |  96 ( 87) | -25----- |  - | IF,H          |              |         |     p993 | San Francisco Giants | +++
RF Steen, T        19|  70/ 83      75/ 70 -23/-11 |  96 ( 87) | -2---4-5 |  + | OF,H          |              |         |     p348 | San Francisco Giants | ++
3B Tellez, S       20|  54/ 89/ 84  55/ 54 -39/ -8 |  96 ( 87) | -399---- |  + | IF,H          |  7           |         |    p3404 | San Francisco Giants | +++-
1B Romero, A       21|  58/ 88/ 85  58/ 57 -35/ -9 |  96 ( 87) | -4------ |  + | H             |  T           |         |    p2877 | San Francisco Giants | +++-
SP Merida, C       25|  84/ 90      78/ 87 -19/ -4 |  96 ( 87) |          | -+ | SP,P          |              |         | MR  p575 | San Francisco Giants | +++++
LF Bartolome, M    21|  75/ 84      79/ 74 -18/-10 |  95 ( 86) | -2---4-- | +  | OF,H          |              |         |     p894 | San Francisco Giants | ++
CF Plasencia, F    26|  85/ 88      92/ 83  -8/ -6 |  95 ( 86) | -2---893 |  + | CF,OF,H       | F            |         | LF  p108 | San Francisco Giants | *
SP Cobb, A         38| 111/ 86     136/102   8/ -8 |  95 ( 86) |          |  + | SP,P          |      $3.4Mx3 |  $5.07M |    p2631 | San Francisco Giants | **^
SS Cavallo, J      24|  78/ 85      78/ 78 -15/ -7 |  93 ( 85) | -38-8--- |  + | SS,IF,H       |  8           |         |    p2567 | San Francisco Giants | +++-
CF Gaitan, C       34|  93/ 92      90/ 94   0/  0 |  93 ( 85) | -25--756 |  + | CF,OF,IF,H    |     $1.35M a | $673.2k |    p1075 | San Francisco Giants | **
 C Spaulding, W    24|  68/ 82      73/ 67 -11/  3 |  92 ( 84) | 7------- | -+ | C,H           |              |         |     p394 | San Francisco Giants | +-
LF Lary, L         25|  83/ 87      88/ 82 -10/ -7 |  92 ( 84) | -3---8-7 |  - | OF,H          |              |         |     p341 | San Francisco Giants | ++-
 C Follett, J      26|  76/ 82      79/ 75  -3/  3 |  92 ( 84) | 7------- |  + | C,H           | F            |         |     p986 | San Francisco Giants | *
MR Guido, J        33|  86/ 86      98/100  -3/  4 |  92 ( 84) |          | ++ | MR,P          | F   $1.87M   |         |    p1423 | San Francisco Giants | ***
SP Cuesta, A       23|  75/ 84      72/ 76 -28/-10 |  91 ( 83) |          | -  | SP,P          |              |         |    p3208 | San Francisco Giants | +++
MR Caballero, M    26|  78/ 84      87/ 92 -12/  2 |  91 ( 83) |          |  - | MR,P          |     $1.98Mx2 |         |     p457 | San Francisco Giants | **^
MR Gandara, R      33|  87/ 87     106/ 98  -2/  5 |  91 ( 83) |          |  - | MR,P          |      $3.5Mx4 |         |     p738 | San Francisco Giants | ***
3B Grant, P        20|  60/ 79/ 78  60/ 60 -33/-14 |  90 ( 82) | -3-8---- |  + | IF,H          |              |         |     p777 | San Francisco Giants | ++
LF Gillam, P       21|  64/ 80/ 79  67/ 64 -29/-15 |  90 ( 82) | -2---5-3 |  + | OF,H          |              |         |     p293 | San Francisco Giants | ++
CF Finn, A         23|  79/ 81      69/ 81 -14/-13 |  90 ( 82) | -1----4- |  + | CF,OF,H       |              |         |    p1731 | San Francisco Giants | +
CF Simpson, J      26|  76/ 83      76/ 76 -17/-11 |  90 ( 82) | -2---334 |  + | CF,OF,H       |              |         | RF p2365 | San Francisco Giants | *
1B Westerlund, B   18|  53/ 77/ 75  56/ 53 -40/-19 |  89 ( 81) | -5------ |  + | H             |              |         |    p2300 | San Francisco Giants | ++-
SP Journey, W      21|  73/ 80      68/ 76 -30/-14 |  89 ( 81) |          |  - | SP,P          |              |         |    p3173 | San Francisco Giants | ++-
2B Arevalo, D      22|  63/ 80/ 79  65/ 63 -30/-13 |  89 ( 81) | -36----- |  + | IF,H          |              |         |    p2596 | San Francisco Giants | ++-
CF Davis, D        31|  91/ 91      89/ 91  -2/ -3 |  89 ( 81) | -2---655 | -- | CF,OF,H       | F   $2.44M   |         | LF p4222 | San Francisco Giants | **
 C Bulkley, M      20|  63/ 77      67/ 63 -16/ -2 |  88 ( 80) | 6------- | -+ | C,H           |              |         |    p1978 | San Francisco Giants | +-
LF Beach, R        22|  74/ 78      69/ 75 -19/-16 |  88 ( 80) | -2---8-2 |  + | OF,H          |              |         |    p2513 | San Francisco Giants | ++

**Now                |  Bat   LU    Ovr  |  Pit   Rot   Ovr  | (rpg:3.37)

American League
East ----------------+
Boston Red Sox       | 101.8 102.6 104.4 | 105.8 109.6 114.5 |  95- 67 0.588 |   0-  0 0.500 |  95- 67 0.586 ( 4) 
Baltimore Orioles    | 102.9 103.5 106.3 | 102.3 100.7 103.0 |  88- 74 0.545 |   0-  0 0.500 |  88- 74 0.543 ( 9) 
New York (A) Yankees | 104.7 105.3 109.7 | 100.0  98.2  98.2 |  87- 75 0.537 |   0-  0 0.500 |  87- 75 0.537 (10) 
Toronto Blue Jays    |  97.4  96.1  93.4 |  99.9  99.0  98.9 |  75- 87 0.460 |   0-  0 0.500 |  75- 87 0.463 (20) 
Tampa Bay Rays       |  94.9  95.4  90.1 |  89.5  93.2  82.4 |  58-104 0.356 |   0-  0 0.500 |  58-104 0.358 (30) 
Central -------------+
Minnesota Twins      | 106.2 106.3 112.0 | 102.9 101.3 104.2 |  93- 69 0.577 |   0-  0 0.500 |  93- 69 0.574 ( 6) 
Kansas City Royals   |  98.4  99.2  97.7 | 107.7 108.9 115.8 |  91- 71 0.561 |   0-  0 0.500 |  91- 71 0.562 ( 7) 
Cleveland Indians    |  99.3  98.2  97.4 |  96.2  96.3  92.4 |  72- 90 0.447 |   0-  0 0.500 |  72- 90 0.444 (24) 
Detroit Tigers       |  96.5  94.7  90.9 |  98.1  95.4  93.3 |  68- 94 0.418 |   0-  0 0.500 |  68- 94 0.420 (26) 
Chicago (A) White... |  97.0  97.6  94.6 |  95.3  92.8  87.6 |  66- 96 0.407 |   0-  0 0.500 |  66- 96 0.407 (27) 
West ----------------+
Los Angeles (A) A... | 101.9 102.6 104.5 |  99.3  97.1  96.4 |  82- 80 0.503 |   0-  0 0.500 |  82- 80 0.506 (12) 
Texas Rangers        | 103.9 102.8 106.6 |  97.2  96.1  93.1 |  80- 82 0.496 |   0-  0 0.500 |  80- 82 0.494 (16) 
Seattle Mariners     |  99.2  97.5  96.7 | 101.1  99.9 101.0 |  79- 83 0.488 |   0-  0 0.500 |  79- 83 0.488 (17) 
Oakland Athletics    |  93.9  94.6  88.2 | 102.9 103.8 106.6 |  76- 86 0.469 |   0-  0 0.500 |  76- 86 0.469 (19) 

National League
East ----------------+
Miami Marlins        | 106.2 105.0 110.9 | 110.5 110.4 119.7 | 103- 59 0.638 |   0-  0 0.500 | 103- 59 0.636 ( 1) 
Atlanta Braves       |  97.9  98.4  96.2 | 101.6 105.7 107.0 |  83- 79 0.514 |   0-  0 0.500 |  83- 79 0.512 (11) 
New York (N) Mets    |  98.7  98.5  97.1 | 101.8 100.8 102.6 |  81- 81 0.498 |   0-  0 0.500 |  81- 81 0.500 (14) 
Philadelphia Phil... | 104.9 103.2 108.0 |  93.8  93.4  86.7 |  76- 86 0.467 |   0-  0 0.500 |  76- 86 0.469 (18) 
Washington Nationals |  98.1  98.0  96.0 |  95.4  99.0  94.5 |  73- 89 0.451 |   0-  0 0.500 |  73- 89 0.451 (21) 
Central -------------+
Houston Astros       | 105.9 104.7 110.3 | 104.8 104.2 108.8 |  96- 66 0.591 |   0-  0 0.500 |  96- 66 0.593 ( 2) 
Cincinnati Reds      |  99.7 101.5 101.2 | 109.9 111.4 119.9 |  96- 66 0.596 |   0-  0 0.500 |  96- 66 0.593 ( 3) 
Chicago (N) Cubs     | 101.0 101.3 102.3 | 104.6 101.9 106.4 |  88- 74 0.542 |   0-  0 0.500 |  88- 74 0.543 ( 8) 
Pittsburgh Pirates   |  99.4 103.2 102.5 |  99.6  98.9  98.5 |  82- 80 0.505 |   0-  0 0.500 |  82- 80 0.506 (13) 
Milwaukee Brewers    |  97.8  96.0  93.7 | 101.5 104.6 105.9 |  80- 82 0.496 |   0-  0 0.500 |  80- 82 0.494 (15) 
St. Louis Cardinals  |  97.1  98.7  95.8 |  97.1  96.6  93.6 |  72- 90 0.446 |   0-  0 0.500 |  72- 90 0.444 (22) 
West ----------------+
San Diego Padres     |  99.6  99.8  99.4 | 109.6 109.3 117.9 |  94- 68 0.579 |   0-  0 0.500 |  94- 68 0.580 ( 5) 
San Francisco Giants | 100.6  98.8  99.4 |  94.4  95.8  90.1 |  72- 90 0.445 |   0-  0 0.500 |  72- 90 0.444 (23) 
Los Angeles (N) D... | 102.0 102.6 104.6 |  90.8  92.0  82.3 |  69- 93 0.425 |   0-  0 0.500 |  69- 93 0.426 (25) 
Arizona Diamondbacks |  98.2  96.9  95.0 |  94.3  91.9  85.5 |  64- 98 0.397 |   0-  0 0.500 |  64- 98 0.395 (28) 
Colorado Rockies     |  94.9  97.1  91.9 |  92.1  91.7  83.2 |  60-102 0.369 |   0-  0 0.500 |  60-102 0.370 (29) 
                     |             101.5 |             102.4 |

**Medium Term        |  Bat   LU    Ovr  |  Pit   Rot   Ovr  | (rpg:3.37)

American League
East ----------------+
Boston Red Sox       |  99.6 100.6 100.3 | 107.6 109.6 116.2 |  93- 69 0.576 |   0-  0 0.500 |  93- 69 0.574 ( 6) 
Toronto Blue Jays    |  99.3  98.5  97.8 | 100.7 100.5 101.2 |  80- 82 0.495 |   0-  0 0.500 |  80- 82 0.494 (13) 
New York (A) Yankees | 100.2 102.1 102.3 |  98.3  97.1  95.3 |  79- 83 0.487 |   0-  0 0.500 |  79- 83 0.488 (16) 
Baltimore Orioles    |  97.0  99.1  96.1 |  99.7  99.7  99.4 |  77- 85 0.477 |   0-  0 0.500 |  77- 85 0.475 (18) 
Tampa Bay Rays       | 100.1 100.9 101.1 |  89.3  90.6  79.1 |  63- 99 0.390 |   0-  0 0.500 |  63- 99 0.389 (30) 
